system:index,date,precip_mm,.geo
0,2005-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2005-01-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2005-01-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2005-01-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2005-01-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2005-01-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2005-01-07,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2005-01-08,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2005-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2005-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2005-01-11,2.4317564394902395E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2005-01-12,7.251606754538168E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2005-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2005-01-14,0.0020479468467186775,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2005-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2005-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2005-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2005-01-18,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2005-01-19,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2005-01-20,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2005-01-21,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2005-01-22,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2005-01-23,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2005-01-24,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2005-01-25,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2005-01-26,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2005-01-27,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2005-01-28,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2005-01-29,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2005-01-30,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2005-01-31,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2005-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2005-02-02,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2005-02-03,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2005-02-04,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2005-02-05,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2005-02-06,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2005-02-07,5.515866959577998E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
