SEX;ch
1;333330333303333
1;112230333333333
1;333300000000000
1;333333300000000
1;330000000000000
1;333303300000000
1;300000000000000
1;333333333300000
1;333300000000000
1;333333333303333
1;333333333003330
1;122303303000333
1;333000000000000
1;333333330000000
1;112230333033000
1;333303333303000
1;333330333330000
1;333333030000000
1;100000000000000
1;112233030033333
1;333333333003003
1;333300000000000
1;333333333303000
1;112200000000000
1;333330000000000
1;300000000000000
1;223330300000000
1;333300000000000
1;333333330000000
1;330330330330000
1;100000000000000
1;333333333330000
1;122333333333000
1;120000000000000
1;333333030000000
1;333330000000000
1;333333333300000
1;122333000000000
1;122230000000000
1;223330000000000
1;223333300000000
1;223300303003333
1;330300000000000
1;333333000000030
1;100000000000000
1;122230000000000
1;333333330000000
1;333000000000000
1;333300000000000
1;033333330300000
1;033333300000000
1;012223333000000
1;011220000000000
1;012233333333330
1;012200333030333
1;023333330300000
1;033000000000000
1;023333300000000
1;011223333333000
1;012223333333000
1;033300000000000
1;010000000000000
1;012223333300000
1;011223333300000
1;011200333300000
1;011220330300030
1;030300000000000
1;033303033330000
1;010203303303333
1;001122330003330
1;001122333000000
1;001122333300000
1;001122033033000
1;001100300303003
1;001122333333333
1;001100000000000
1;001122033330033
1;003000330300000
1;001122330000000
1;001100000000000
1;001122000000000
1;001122303300300
1;001022300030003
1;000220300333033
1;000120230003003
1;000122303300303
1;000122030000000
1;000120233333300
1;000100000000000
1;000122233300000
1;000122233333333
1;000112203300333
1;000100230000000
1;000112233030333
1;000100233303300
1;000122030000300
1;000100000000000
1;000010033333333
1;000012233330000
1;000012023003333
1;000011000000000
1;000011200000000
1;000010033033300
1;000011223003333
1;000010200033303
1;000010000000000
1;000012203003300
1;000001120300300
1;000001203330303
1;000001122330030
1;000001122300000
1;000001022300000
1;000001200000000
1;000001200000000
1;000001223300330
1;000001223330333
1;000001222303333
1;000001223000333
1;000001200000000
1;000001022003330
1;000001023300330
1;000001222000000
1;000001220000000
1;000001220000000
1;000001220000000
1;000001220000000
1;000001100000000
1;000001122003333
1;000001220003000
1;000001023003303
1;000003000000000
1;000001122003330
1;000000223033000
1;000000203300030
1;000000223000000
1;000000120000000
1;000000122230330
1;000000122000000
1;000000122000000
1;000000100000000
1;000000120330030
1;000000122003333
1;000000100000000
1;000000102003333
1;000000102033333
1;000000100233330
1;000000112033033
1;000000012003333
1;000000012000000
1;000000011000000
1;000000020333333
1;000000011200000
1;000000011203033
1;000000011000330
1;000000010033333
1;000000011200000
1;000000011000000
1;000000011003303
1;000000020330000
1;000000011203330
1;000000011000000
1;000000020300333
1;000000002200033
1;000000001200330
1;000000001200000
1;000000001200000
1;000000001002000
1;000000001202030
1;000000001200030
1;000000001000000
1;000000001023333
1;000000001002030
1;000000001223033
1;000000001222333
1;000000001000330
1;000000001002300
1;000000001100000
1;000000001020030
1;000000000303333
1;000000000300000
1;000000000203000
1;000000000203330
1;000000000223300
1;000000000000300
1;000000000200033
1;000000000220330
1;000000001220000
1;000000000102033
1;000000000102030
1;000000000102200
1;000000000100303
1;000000000122003
1;000000000102000
1;000000000120200
1;000000000110033
1;000000000110033
1;000000000102000
1;000000000100000
1;000000000110203
1;000000000333333
1;000000000020300
1;000000000020030
1;000000000023030
1;000000000023003
1;000000000020003
1;000000000023303
1;000000000010000
1;000000000012033
1;000000000012223
1;000000000010030
1;000000000012023
1;000000000012230
1;000000000010000
1;000000000011223
1;000000000011023
1;000000000010003
1;000000000011203
1;000000000011203
1;000000000010023
1;000000000112000
1;000000000010220
1;000000000010023
1;000000000011220
1;000000000010203
1;000000000002333
1;000000000002033
1;000000000002333
1;000000000002303
1;000000000002020
1;000000000002303
1;000000000002333
1;000000000002000
1;000000000002333
1;000000000002333
1;000000000002333
1;000000000112233
1;000000000002033
1;000000000102200
1;000000000001223
1;000000000001223
1;000000000001200
1;000000000001222
1;000000000001202
1;000000000001022
1;000000000001223
1;000000000001200
1;000000000001023
1;000000000001000
1;000000000001200
1;000000000011220
1;000000000001022
1;000000000001022
1;000000000001022
1;000000000001020
1;000000000001000
1;000000000001120
1;000000000001122
1;000000000001122
1;000000000001000
1;000000000001000
1;000000000011203
1;000000000000333
1;000000000000203
1;000000000000122
1;000000000000120
1;000000000000102
1;000000000000120
1;000000000000122
1;000000000000100
1;000000000000122
1;000000000000122
1;000000000000102
1;000000000000120
1;000000000000122
1;000000000000100
1;000000000000102
1;000000000000100
1;000000000000120
1;000000000000122
1;000000000000122
1;000000000000100
1;000000000000100
1;000000000000122
1;000000000000110
1;000000000000110
1;000000000000112
1;000000000000112
1;000000000000100
1;000000000000112
1;000000000000110
1;000000000000112
1;000000000000102
1;000000000000100
1;000000000000110
1;000000000000110
1;000000000001122
1;000000000000110
1;000000000000110
1;000000000000030
1;000000000000030
1;000000000010020
1;000000000000030
1;000000000012033
1;000000000010023
1;000000000000033
1;000000000000020
1;000000000000020
1;000000000000022
1;000000000000020
1;000000000000020
1;000000000000010
1;000000000000012
1;000000000000012
1;000000000000010
1;000000000000012
1;000000000000010
1;000000000000010
1;000000000000012
1;000000000000012
1;000000000000012
1;000000000000012
1;000000000000010
1;000000000000010
1;000000000000012
1;000000000000012
1;000000000000011
1;000000000000011
1;000000000000010
1;000000000000011
1;000000000000010
1;000000000000010
1;000000000000011
1;000000000000010
1;000000000000011
1;000000000000011
1;000000000000011
1;000000000000010
1;000000000000010
1;000000000000011
1;000000000000010
1;000000000000011
1;000000000000011
1;000000000000011
1;000000000000010
1;000000000000010
1;000000000000010
1;000000000000033
1;000000000000003
1;000000000000002
1;000000000000002
1;000000000000002
1;000000000000002
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000011
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
1;000000000000001
0;333000000000000
0;333000000000000
0;122333330000000
0;333333330033333
0;333333333333333
0;333333333303333
0;333333000300000
0;333333300000000
0;333333333333333
0;122333333303333
0;333333330333333
0;333330333330303
0;333333330000000
0;333333333330000
0;333333333300000
0;333303330300000
0;333333333003333
0;112233333300000
0;333333300000000
0;112233330333333
0;333333333333333
0;300000000000000
0;223333333303333
0;303300000000000
0;122333030330030
0;112230330000000
0;333333333303300
0;333333033300030
0;333333333333330
0;333333333000333
0;122233303333330
0;330000000000000
0;223333333333333
0;333333333333333
0;223333333033333
0;333333300000000
0;333333033003033
0;223333333303330
0;333333333033333
0;333333330333003
0;333333333033333
0;333333333033333
0;333333333333333
0;333330000000000
0;333333333003033
0;122233033000303
0;333333333033000
0;333333333330000
0;333333000000000
0;112233033303000
0;333333333333333
0;122230333333333
0;122230303003000
0;333333333333333
0;333333030000000
